 6	 6	 6	 6	 6	 6	 6	 7	 7	 7	 7	 7	 7	 7	 8	 8	 8	 8	 8	 8	 8	 9	 9	 9	 9	 9	 9	 9	10	10	10	10	
5	5	5	5	5	 6	 6	 6	 6	 6	 6	 6	 6	 7	 7	 7	 7	 7	 7	 7	 7	 8	 8	 8	 8	 8	 8	 8	 9	 9	 9	 9	
4	4	4	4	5	5	5	5	5	5	5	5	 6	 6	 6	 6	 6	 6	 6	 6	 7	 7	 7	 7	 7	 7	 7	 7	 8	 8	 8	 8	
3	3	3	4	4	4	4	4	4	4	4	5	5	5	5	5	5	5	5	 6	 6	 6	 6	 6	 6	 6	 6	 6	 7	 7	 7	 7	
2	3	3	3	3	3	3	3	3	3	4	4	4	4	4	4	4	4	4	5	5	5	5	5	5	5	5	5	 6	 6	 6	 6	
2	2	2	2	2	2	2	2	3	3	3	3	3	3	3	3	3	3	4	4	4	4	4	4	4	4	4	5	5	5	5	5	
1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	3	3	3	3	3	4	4	4	4	4	
0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	
11	11	11	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	
10	11	11	11	11	11	11	11	11	11	11	11	11	11	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	
10	10	10	10	10	10	10	10	10	10	10	10	11	11	11	11	11	11	11	11	11	11	11	11	11	0	0	0	0	0	0	0	
 9	 9	 9	 9	 9	 9	 9	 9	 9	 9	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	11	11	11	11	11	11	11	
 8	 8	 8	 8	 8	 8	 8	 8	 9	 9	 9	 9	 9	 9	 9	 9	 9	 9	 9	 9	 9	 9	 9	 9	10	10	10	10	10	10	10	10	
 7	 7	 7	 7	 7	 8	 8	 8	 8	 8	 8	 8	 8	 8	 8	 8	 8	 8	 8	 8	 8	 8	 8	 9	 9	 9	 9	 9	 9	 9	 9	 9	
 6	 6	 7	 7	 7	 7	 7	 7	 7	 7	 7	 7	 7	 7	 7	 7	 7	 7	 7	 7	 7	 7	 8	 8	 8	 8	 8	 8	 8	 8	 8	 8	
 6	 6	 6	 6	 6	 6	 6	 6	 6	 6	 6	 6	 6	 6	 6	 6	 6	 6	 6	 6	 6	 7	 7	 7	 7	 7	 7	 7	 7	 7	 7	 7	
5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	 6	 6	 6	 6	 6	 6	 6	 6	 6	 6	 6	 6	 6	
4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	
3	3	3	3	3	3	3	3	3	3	3	3	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	
2	2	2	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	
10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	
10	10	10	10	10	 9	 9	 9	 9	 9	 9	 9	 9	 9	 9	 9	 9	 9	 9	 9	 9	 9	 9	 9	 9	 9	 9	 9	 9	 9	 9	 9	
 9	 9	 9	 9	 9	 9	 9	 9	 9	 9	 9	 9	 8	 8	 8	 8	 8	 8	 8	 8	 8	 8	 8	 8	 8	 8	 8	 8	 8	 8	 8	 8	
 8	 8	 8	 8	 8	 8	 8	 8	 8	 8	 8	 8	 8	 8	 8	 8	 7	 7	 7	 7	 7	 7	 7	 7	 7	 7	 7	 7	 7	 7	 7	 7	
 7	 7	 7	 7	 7	 7	 7	 7	 7	 7	 7	 7	 7	 7	 7	 7	 7	 7	 7	 6	 6	 6	 6	 6	 6	 6	 6	 6	 6	 6	 6	 6	
 6	 6	 6	 6	 6	 6	 6	 6	 6	 6	 6	 6	 6	 6	 6	 6	 6	 6	 6	 6	 6	5	5	5	5	5	5	5	5	5	5	5	
 6	 6	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	4	4	4	4	4	4	4	4	4	
5	5	5	5	5	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3	3	3	3	3	3	3	3	3	
4	4	4	4	4	4	4	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	2	2	2	2	2	2	2	
3	3	3	3	3	3	3	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	
2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	
2	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	11	11	11	11	11	11	
1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	11	11	11	11	11	11	11	11	11	11	11	10	10	10	10	10	10	
0	0	0	0	0	11	11	11	11	11	11	11	11	11	11	11	10	10	10	10	10	10	10	10	10	10	10	 9	 9	 9	 9	 9	
11	11	11	11	11	11	11	10	10	10	10	10	10	10	10	10	10	 9	 9	 9	 9	 9	 9	 9	 9	 9	 9	 8	 8	 8	 8	 8	
10	10	10	10	10	10	10	10	 9	 9	 9	 9	 9	 9	 9	 9	 9	 9	 8	 8	 8	 8	 8	 8	 8	 8	 8	 7	 7	 7	 7	 7	
10	 9	 9	 9	 9	 9	 9	 9	 9	 9	 8	 8	 8	 8	 8	 8	 8	 8	 8	 7	 7	 7	 7	 7	 7	 7	 7	 7	 6	 6	 6	 6	
 9	 9	 9	 8	 8	 8	 8	 8	 8	 8	 8	 7	 7	 7	 7	 7	 7	 7	 7	 6	 6	 6	 6	 6	 6	 6	 6	 6	5	5	5	5	
 8	 8	 8	 8	 7	 7	 7	 7	 7	 7	 7	 7	 6	 6	 6	 6	 6	 6	 6	 6	5	5	5	5	5	5	5	5	4	4	4	4	
 7	 7	 7	 7	 7	 6	 6	 6	 6	 6	 6	 6	 6	5	5	5	5	5	5	5	5	4	4	4	4	4	4	4	3	3	3	3	
 6	 6	 6	 6	 6	 6	 6	5	5	5	5	5	5	5	4	4	4	4	4	4	4	3	3	3	3	3	3	3	2	2	2	2	
 6	5	5	5	5	5	5	5	4	4	4	4	4	4	4	3	3	3	3	3	3	3	2	2	2	2	2	2	2	1	1	1	
5	5	4	4	4	4	4	4	4	3	3	3	3	3	3	2	2	2	2	2	2	2	1	1	1	1	1	1	1	0	0	0	
4	4	4	3	3	3	3	3	3	3	2	2	2	2	2	2	1	1	1	1	1	1	0	0	0	0	0	0	0	11	11	11	
3	3	3	3	2	2	2	2	2	2	1	1	1	1	1	1	1	0	0	0	0	0	0	11	11	11	11	11	11	10	10	10	
2	2	2	2	2	1	1	1	1	1	1	0	0	0	0	0	0	11	11	11	11	11	11	10	10	10	10	10	10	 9	 9	 9	
2	1	1	1	1	1	0	0	0	0	0	0	11	11	11	11	11	11	10	10	10	10	10	 9	 9	 9	 9	 9	 9	 8	 8	 8	
1	1	0	0	0	0	0	11	11	11	11	11	11	10	10	10	10	10	 9	 9	 9	 9	 9	 9	 8	 8	 8	 8	 8	 7	 7	 7	
0	0	0	11	11	11	11	11	10	10	10	10	10	 9	 9	 9	 9	 9	 9	 8	 8	 8	 8	 8	 7	 7	 7	 7	 7	 6	 6	 6	
11	11	11	11	10	10	10	10	10	 9	 9	 9	 9	 9	 8	 8	 8	 8	 8	 7	 7	 7	 7	 7	 6	 6	 6	 6	 6	5	5	5	
10	10	10	10	 9	 9	 9	 9	 9	 8	 8	 8	 8	 8	 7	 7	 7	 7	 7	 6	 6	 6	 6	 6	5	5	5	5	5	4	4	4	
 9	 9	 9	 9	 9	 8	 8	 8	 8	 8	 7	 7	 7	 7	 7	 6	 6	 6	 6	 6	5	5	5	5	5	4	4	4	4	4	3	3	
 9	 8	 8	 8	 8	 8	 7	 7	 7	 7	 7	 6	 6	 6	 6	 6	5	5	5	5	4	4	4	4	4	3	3	3	3	3	2	2	
 8	 8	 7	 7	 7	 7	 7	 6	 6	 6	 6	5	5	5	5	5	4	4	4	4	4	3	3	3	3	2	2	2	2	2	1	1	
